cod_ibge7,municipio,latitude,longitude
1500131,Abel Figueiredo,-4.95333,-48.3933
1500347,Água Azul do Norte,-6.79053,-50.4791
1500602,Altamira,-3.20407,-52.21
1501451,Belterra,-2.63609,-54.9374
1501758,Brejo Grande do Araguaia,-5.69822,-48.4103
1501782,Breu Branco,-3.77191,-49.5735
1502707,Conceição do Araguaia,-8.26136,-49.2689
1502764,Cumaru do Norte,-7.81097,-50.7698
1502772,Curionópolis,-6.09965,-49.6068
1502939,Dom Eliseu,-4.19944,-47.8245
1503044,Floresta do Araguaia,-7.55335,-49.7125
1503093,Goianésia do Pará,-3.84338,-49.0974
1503457,Ipixuna do Pará,-2.55992,-47.5059
1503754,Jacareacanga,-6.21469,-57.7544
1503804,Jacundá,-4.44617,-49.1153
1504208,Marabá,-5.38075,-49.1327
1504802,Monte Alegre,-1.99768,-54.0724
1505031,Novo Progresso,-7.14347,-55.3786
1505502,Paragominas,-3.00212,-47.3527
1505551,Pau D'Arco,-1.59772,-46.9268
1505635,Piçarra,-6.43778,-48.8716
1505650,Placas,-3.86813,-54.2124
1506138,Redenção,-8.02529,-50.0317
1506161,Rio Maria,-7.31236,-50.0379
1506187,Rondon do Pará,-4.77793,-48.067
1506195,Rurópolis,-4.10028,-54.9092
1506583,Santa Maria das Barreiras,-8.85784,-49.7215
1506708,Santana do Araguaia,-9.3281,-50.35
1506807,Santarém,-2.43849,-54.6996
1507300,São Félix do Xingu,-6.64254,-51.9904
1507508,São João do Araguaia,-5.36334,-48.7926
1507755,Sapucaia,-6.94018,-49.6834
1507953,Tailândia,-2.94584,-48.9489
1508001,Tomé-Açu,-2.41302,-48.1415
1508084,Tucumã,-6.74687,-51.1626
1508126,Ulianópolis,-3.75007,-47.4892
1508159,Uruará,-3.71519,-53.7396
1508407,Xinguara,-7.0983,-49.9437
